id,mag,mass,zbest,zspec,ra,dec
2339,23.7085,9.87903,2.949,-99,150.179637,2.207501
2348,24.6317,9.909,2.12,-99,150.177067,2.208041
2349,23.7664,9.69173,1.7,-99,150.062688,2.20709
2366,24.4659,9.51616,5.65,-99,150.101692,2.20811
2372,21.1276,9.98908,0.62,-99,150.0886,2.205103
2377,22.3624,9.82821,0.8,-99,150.100984,2.207963
2381,24.1226,9.90298,3.35,-99,150.100011,2.208001
2387,24.109,9.5113,2.89,-99,150.170532,2.207924
2405,23.2213,10.574,1.9479,-99,150.17678,2.207883
2406,20.9592,10.61,1.0638,-99,150.076581,2.205857
2407,22.2985,9.94219,2.257,-99,150.12948,2.207198
2413,20.0923,10.9295,0.958,-99,150.129433,2.20639
2419,20.7104,11.328,1.627,-99,150.17479,2.206886
2422,21.7865,10.2205,0.924,-99,150.141325,2.207774
2423,24.5145,9.41549,2.49,-99,150.096794,2.208544
2442,16.9224,12.3124,2.419,-99,150.06773,2.193741
2449,23.0878,10.0773,1.611,-99,150.176261,2.20861
2451,18.2469,11.1099,0.4187,-99,150.183088,2.206282
2459,21.8828,10.1757,0.91,-99,150.105141,2.207897
2463,23.4829,10.2676,1.61,-99,150.18012,2.208465
2466,20.748,10.9054,1.263,-99,150.055387,2.206126
2473,20.7415,11.0445,1.11,-99,150.109292,2.207372
2476,24.9442,10.4107,2.643,-99,150.130783,2.20912
2478,23.4471,10.3333,2.2,-99,150.072429,2.208555
2486,20.9232,10.4727,1,-99,150.092613,2.206468
2488,21.6334,10.8912,1.8044,-99,150.192725,2.208067
2495,18.1399,11.3746,0.556,-99,150.183202,2.207044
2496,21.0658,10.5455,0.87,-99,150.079657,2.207365
2500,20.0643,10.4122,0.761,-99,150.092236,2.204433
2504,19.7053,10.9952,0.81,-99,150.183772,2.207097
2505,22.291,10.6111,1.622,-99,150.151764,2.208868
2512,21.5161,10.644,0.97,-99,150.189514,2.208209
2513,21.6789,9.98391,0.93,-99,150.067893,2.208193
2518,20.6945,10.0615,0.65,-99,150.157365,2.207521
2519,21.502,11.266,1.889,-99,150.141059,2.20847
2522,21.8106,10.6214,1.8614,-99,150.177574,2.208041
2526,21.9808,10.7113,1.74,-99,150.059063,2.208984
2542,20.9145,10.5185,1.4573,-99,150.184432,2.207498
2543,21.8389,10.0371,1.93,-99,150.176605,2.208433
2544,22.0098,9.84433,1.14,-99,150.110828,2.209189
2548,21.6403,9.86154,0.91,-99,150.121004,2.208286
2550,20.4216,10.5376,0.88,-99,150.186593,2.208584
2556,23.4456,9.72825,2.68,-99,150.18759,2.209755
2560,22.6038,9.95621,1.549,-99,150.09413,2.209485
2561,21.844,10.1057,1.35,1.412,150.184482,2.208795
2563,21.5866,10.0473,1.18,-99,150.11023,2.208474
2565,21.8649,10.7089,1.605,-99,150.172739,2.209448
2571,23.4165,10.3752,1.823,-99,150.152507,2.209674
2578,20.8832,10.5505,0.9288,-99,150.110276,2.207603
2584,23.7662,9.80028,1.85,-99,150.120087,2.210005
2588,23.2214,10.0975,2.181,-99,150.096955,2.209176
2612,23.5309,9.81965,2.413,-99,150.122504,2.210339
2617,23.5757,9.64319,0.847,-99,150.142699,2.210288
2619,19.6745,10.8685,0.6,-99,150.191734,2.208905
2629,21.8648,10.1456,0.92,-99,150.083706,2.209783
2632,23.3636,10.1458,2.6204,-99,150.188067,2.210255
2633,20.3687,10.7625,0.8876,-99,150.19218,2.208027
